,id,x,y,unique_squi_id,Shift,Date,Age,primary_fur_color,Location,specific_location,running,Chasing,Climbing,Eating,Foraging,other_activities,Kuks,Quaas,Moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
135,1137,-73.9528682507794,40.792580780830704,36I-PM-1007-13,PM,10072018,Adult,Gray,Ground Plane,not known,False,False,False,True,False,not known,False,False,False,False,True,True,False,False
136,1138,-73.97824171151392,40.77246650364471,7A-AM-1006-01,AM,10062018,Adult,Gray,Above Ground,in tree,False,False,False,False,True,not known,False,True,False,False,True,False,False,False
137,1139,-73.9721442939797,40.770075080231706,7G-PM-1018-03,PM,10182018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,False,False
138,1140,-73.969847380865,40.7769884612305,14E-AM-1008-05,AM,10082018,Adult,Gray,Above Ground,not known,False,False,True,False,False,nest building,False,False,False,False,False,False,True,False
139,1141,-73.97686527856641,40.768483816820705,3D-PM-1010-03,PM,10102018,Adult,Cinnamon,Ground Plane,not known,False,False,False,False,False,not known,False,False,False,False,False,False,False,False
140,1142,-73.9590992841423,40.793758098573,35D-PM-1013-09,PM,10132018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
141,1143,-73.9724063986771,40.7705711897977,7F-PM-1012-01,PM,10122018,Adult,Gray,Ground Plane,not known,True,False,False,False,False,not known,False,False,False,False,False,False,True,False
142,1144,-73.9661361310677,40.7787872561177,18G-PM-1013-01,PM,10132018,Adult,Gray,Ground Plane,not known,False,False,False,True,True,burying,False,False,False,False,False,False,False,True
143,1145,-73.9730750601212,40.7701304211944,6F-PM-1008-01,PM,10082018,Adult,Gray,Above Ground,not known,False,False,False,False,False,not known,False,False,False,False,False,False,False,False
144,1146,-73.971970670614,40.7720868124544,9F-AM-1013-04,AM,10132018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,False,False
145,1147,-73.95621174550999,40.795104437820704,38E-AM-1010-09,AM,10102018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
